feature,importance
total_biat,0.0957380606667859
flowBytesPerSecond,0.08503085576609466
min_flowiat,0.08343454174095531
total_fiat,0.06891881770122384
flowPktsPerSecond,0.062462725822319744
mean_flowiat,0.05889282457888852
max_flowiat,0.05788144655055149
std_flowiat,0.05433902036832775
duration,0.05417356116820617
max_fiat,0.054166506095892415
max_biat,0.05133983279269532
mean_biat,0.04593000634081274
min_fiat,0.04518381209248255
min_biat,0.038515434745488186
mean_fiat,0.038029259201897495
max_active,0.018050847410052015
max_idle,0.01555457718697164
min_idle,0.015217340776027485
mean_active,0.015117744894489695
mean_idle,0.014648285680505184
min_active,0.014108544682626942
std_active,0.006787604497029866
std_idle,0.00647834923967519
