feature,importance
total_biat,0.1062869679850965
flowBytesPerSecond,0.08185541183732092
min_flowiat,0.07894009793062627
max_flowiat,0.06975394132538304
flowPktsPerSecond,0.06595526135113816
total_fiat,0.0646593302748909
max_biat,0.06224999321487083
mean_flowiat,0.06186577287133569
max_fiat,0.060825171417956056
std_flowiat,0.05526337435638457
duration,0.050005542502705544
min_fiat,0.04237602806686729
mean_biat,0.04206628836631178
mean_fiat,0.03729099813422121
min_biat,0.03420096922583789
min_idle,0.014297666647793916
mean_idle,0.013204389872616257
max_idle,0.01306881283326833
min_active,0.012350259680253602
mean_active,0.011640321551709895
max_active,0.011542807023593532
std_idle,0.005310178295376087
std_active,0.004990415234441734
