feature,importance
min_flowiat,0.08066701455348334
flowBytesPerSecond,0.08021406828494947
min_biat,0.0797687093456399
min_fiat,0.07799078949885567
duration,0.06158053224457301
mean_flowiat,0.05956039117818613
flowPktsPerSecond,0.0580906975957626
max_flowiat,0.05617524137498671
std_fiat,0.05005879272309965
max_fiat,0.049180417999700236
mean_fiat,0.04707245038389201
max_biat,0.04639684169765456
mean_biat,0.04608842707680962
std_flowiat,0.04018619356031389
std_biat,0.036565185335974866
max_active,0.021037288521911373
max_idle,0.019117502534274307
min_idle,0.01704888404721057
min_active,0.01633268137810324
mean_active,0.01562571288943591
mean_idle,0.015138695022721175
std_idle,0.013490159945587794
std_active,0.012613322806873831
